# Ghidra 11.4.1 - suspicious path/registry/network strings in KG.exe
# Total suspicious: 507
# Total decompiled funcs: 6

[01678286] (13 bytes) KERNEL32.dll
[01712b2c] (132 bytes) \Registry\Machine\System\CurrentControlSet\Services\ACE-SSC-DRV64
[01712d7c] (44 bytes) \Device\ACE-SSC-DRV64
[01712dac] (52 bytes) \DosDevices\ACE-SSC-DRV64
[01712de4] (44 bytes) IoGetIommuInterfaceEx
[0171307c] (116 bytes) \Registry\Machine\System\CurrentControlSet\Control\Class
[017133fc] (116 bytes) C:\data\landun\workspace\CommonComponent\ACE-SSC\1.compile_source\SOURCE\SscDrv\build64\Release\ACE-SSC-DRV64.pdb
[01713550] (8 bytes) .data
[0171979e] (26 bytes) ZwQuerySystemInformation
[017199fa] (26 bytes) MmGetSystemRoutineAddress
[01719e90] (20 bytes) MmSystemRangeStart
[01719ebe] (14 bytes) MmMapIoSpace
[01719ece] (15 bytes) MmUnmapIoSpace
[01719f76] (22 bytes) IoGetDeviceInterfaces
[0171a014] (32 bytes) KeSetSystemGroupAffinityThread
[0171a1e2] (14 bytes) ntoskrnl.exe
[0171a23c] (8 bytes) HAL.dll
[0171a3a0] (24 bytes) RtlAddAccessAllowedAce
[0171a5ec] (24 bytes) ACE-SSC-DRV
[0171a660] (32 bytes) ACE-SSC-DRV.sys
[0171a6a8] (32 bytes) ACE-SSC-DRV.sys
[01ac1b24] (28 bytes) Kernel32.dll
[01ac1b54] (28 bytes) kernel32.dll
[01ac1bac] (16 bytes) kernel32.dll
[01ac1bcc] (44 bytes) config\TenMacode.dat
[01ac3584] (28 bytes) net interface init failed.
[01ac3fba] (26 bytes) ltersafe.dll
[01ac3fd4] (12 bytes) DllEntry20
[01ac3fe4] (12 bytes) DllEntry
[01ac4e5c] (12 bytes) Replaced
[01ac4eec] (140 bytes) # Netscape HTTP Cookie File
# https://curl.haxx.se/docs/http-cookies.html
# This file was generated by libcurl! Edit at your own risk.


[01ac5fa4] (32 bytes) Couldn't bind to interface '%s'
[01ac5fc4] (56 bytes) Local Interface %s is ip %s using address family %i

[01ac6304] (28 bytes) iphlpapi.dll
